Nome_Grande_Regiao,Nome_da_UF,Nome_da_meso,Nome_da_micro,Nome_da_RM,Nome_do_municipio,ipc,compDomicilios,compEntorno,compPessoas,D1BAN,D2AGU,D3M5,D4REN,E1LOG,E2ILU,E3PAV,E4MEI,E5BOC,E6ESG,E7LIX,H1NB,H2MR,H3RA,n
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,NOVO LINO,0.4366610334225478,0.48588271669237726,0.3602881830698381,0.4638122005054281,0.7476782752902156,0.38474295190713104,0.6969923562645397,0.3,0.07153539381854436,0.5098039215686274,0.44258889996676637,0.4040378863409771,0.0635593220338983,0.45928880026586905,0.5712030574941841,0.3076285240464345,0.6285310734463276,0.4552770040235221,18
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,PORTO CALVO,0.4837695155835391,0.5629165009748053,0.4452459052974517,0.4431461404783605,0.8857554068772366,0.6639567449821068,0.6648703530146829,0.3,0.09868009996875976,0.7417994376757263,0.5980552952202437,0.6178928459856294,0.21009059668853483,0.10836457357075914,0.7418384879725086,0.2815077018826825,0.6655732583567635,0.3823574611956355,30
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,Municípios não pertencentes a estrutura de RM,SÃO LUÍS DO QUITUNDE,0.43206832410486656,0.46959351768039714,0.3849887168073202,0.44162273782688233,0.7690670122176971,0.3578612859434777,0.6210392902408112,0.3,0.06816284892886952,0.5883025750409595,0.5143899347738724,0.5170793533030388,0.09753006275309901,0.26377940585489507,0.6456768369965068,0.24444650129581635,0.6426473770441126,0.43777433514071784,43
Região Nordeste,Alagoas,Leste Alagoano,Mata Alagoana,RM Maceió,MESSIAS,0.5310306816411586,0.6124670224629212,0.5444293214077387,0.4361957010528162,0.9418441525315648,0.8472133656421375,0.6732775941409035,0.3,0.082506967399053735,0.8935122172532245,0.6668611057100265,0.6974528485319852,0.07382202346231123,0.49251409683064357,0.9043359906669259,0.2881010075245505,0.6231771339685008,0.3973089616653973,15
Região Nordeste,Alagoas,Leste Alagoano,Penedo,Municípios não pertencentes a estrutura de RM,FELIZ DESERTO,0.5009671404145053,0.5328443770075664,0.523545706371191,0.4465113378647588,0.9815880322209436,0.3100115074798619,0.7726223453370268,0.3,0.09141274238227147,0.7927054478301016,0.471606648199446,0.4621421975992613,0.24722991689750692,0.7998614958448753,0.7998614958448753,0.24487917146145,0.6618190212373039,0.4328358208955224,6
Região Nordeste,Alagoas,Leste Alagoano,Penedo,Municípios não pertencentes a estrutura de RM,IGREJA NOVA,0.3917665816230483,0.5387233971257795,0.13132877360519637,0.505247574138169,0.8525244719216899,0.7093851966340374,0.7317073170731707,0.2,0.1431582569793952,0.18763711446638276,0.16234352819718673,0.16483847378156322,0.06964339484664687,5.161956381468576e-4,0.19116445132705295,0.28507642108878584,0.7205660945498344,0.5101002067758867,35
Região Nordeste,Alagoas,Leste Alagoano,Penedo,Municípios não pertencentes a estrutura de RM,PENEDO,0.49791110285039675,0.6476358280985607,0.43633016189763507,0.40976731855499465,0.9643081917254629,0.9290966908476598,0.7447742579196808,0.3,0.07281948948199883,0.7682547601230565,0.4676644217178016,0.5048640558742828,0.13261827554668662,0.3387544691111665,0.7693356614284527,0.2740567756467588,0.6427870624428369,0.31245811757538833,68
Região Nordeste,Alagoas,Leste Alagoano,Penedo,Municípios não pertencentes a estrutura de RM,PIAÇABUÇU,0.48590381306258806,0.6153751684655178,0.40349636973028724,0.43883990099195924,0.9383828402022903,0.8194500959135035,0.7190429062117949,0.3,0.12248937532747278,0.5893345753041859,0.5078302381090993,0.514175932933574,0.18093962857309193,0.3115212202363626,0.5981836176282238,0.2615822821600884,0.6217616580310881,0.4331757627847014,24
Região Nordeste,Alagoas,Leste Alagoano,Penedo,Municípios não pertencentes a estrutura de RM,PORTO REAL DO COLÉGIO,0.4207764254515788,0.5331899997505035,0.25419819017949863,0.4749410864247342,0.9103148301574151,0.643589478044739,0.7120456905503634,0.2,0.1555036344755971,0.3258047767393562,0.2916926272066459,0.30207684319833855,0.07975077881619938,0.29392523364485984,0.33063343717549326,0.26020091135045564,0.693042575285566,0.47157977263818107,25
Região Nordeste,Alagoas,Leste Alagoano,São Miguel dos Campos,Municípios não pertencentes a estrutura de RM,ANADIA,0.46989749993435276,0.5448379370465015,0.3694949196500386,0.49535964310651825,0.9368686868686869,0.4717056932966024,0.7156153050672183,0.3,0.10214868436171436,0.6041594852349764,0.44266344938526947,0.4419165804894864,0.09467999540388372,0.3050672182006205,0.5958290244743192,0.3305785123966942,0.6662070550384924,0.48929336188436834,20
